Date,Campaign,Audience,Creative_Family,Creative_Version,Platform,Ad_Format,Goal,Completions,Campaign_Traffic,Target_Group
2022-04-27,NA,NA,NA,NA,NA,NA,Learn More (Our Story),2.0,General traffic,NA
2022-04-27,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-28,NA,NA,NA,NA,NA,NA,Form Submission,1.0,General traffic,NA
2022-04-28,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-29,NA,NA,NA,NA,NA,NA,Form Submission,2.0,General traffic,NA
2022-04-29,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-05-01,NA,NA,NA,NA,NA,NA,Form Submission,2.0,General traffic,NA
2022-05-02,NA,NA,NA,NA,NA,NA,Form Submission,1.0,General traffic,NA
2022-05-02,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-02,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-04,NA,NA,NA,NA,NA,NA,Form Submission,2.0,General traffic,NA
2022-05-04,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-05-04,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-05,NA,NA,NA,NA,NA,NA,Form Submission,1.0,General traffic,NA
2022-05-05,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-09,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-05-09,NA,NA,NA,NA,NA,NA,Learn More (Our Story),2.0,General traffic,NA
2022-05-09,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-11,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-05-16,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-05-17,NA,NA,NA,NA,NA,NA,Learn More (Our Story),2.0,General traffic,NA
2022-05-20,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-24,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-25,NA,NA,NA,NA,NA,NA,Start Closing More,2.0,General traffic,NA
2022-05-26,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-05-31,NA,NA,NA,NA,NA,NA,Learn More (Our Story),2.0,General traffic,NA
2022-05-31,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-06-01,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-06-02,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-06-03,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-06-06,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-06-08,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-06-08,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-06-08,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-06-09,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-06-10,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-06-10,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-01,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-01,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-04,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-04,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-05,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-06,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-07,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-08,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),5.0,General traffic,NA
2022-04-11,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-12,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-04-12,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-12,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-13,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-14,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-17,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-18,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-19,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-20,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-22,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-23,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-27,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-29,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-30,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-04,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-05-05,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-05,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-09,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-10,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-12,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-05-14,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-05-16,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-05-17,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-05-23,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-24,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-05-31,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-06-01,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-06-01,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-06-02,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-06-03,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-06-04,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-06-06,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-06-07,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-06-10,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-06-13,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-04-04,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-07,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-14,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-22,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-26,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-27,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-28,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-09,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-16,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-17,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-18,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-05-22,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-24,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-06-02,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-06-06,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-06-08,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-06-09,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-02,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-27,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-29,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-10,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-05-16,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-17,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-05-17,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-22,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-06-10,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-02,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-04,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-04-05,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-04-06,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-04-06,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),5.0,General traffic,NA
2022-04-07,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-08,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4.0,General traffic,NA
2022-04-11,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-12,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-13,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),5.0,General traffic,NA
2022-04-13,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-15,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4.0,General traffic,NA
2022-04-18,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-18,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-19,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-20,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-21,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-22,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-23,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-04-24,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-25,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-25,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-27,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),5.0,General traffic,NA
2022-04-27,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-28,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-04-28,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-29,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-05-02,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-05-03,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-04,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-05-05,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-08,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-09,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-10,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4.0,General traffic,NA
2022-05-11,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-16,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),5.0,General traffic,NA
2022-05-17,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-05-18,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-19,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-05-19,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-20,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-23,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-26,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-05-27,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-31,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-05-31,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-06-01,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-06-03,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-06-04,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-06-06,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-06-07,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-06-08,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),3.0,General traffic,NA
2022-06-13,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-06,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-12,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-18,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-19,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-28,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-29,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-06,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-09,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-05-09,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-25,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-05-31,NA,NA,NA,NA,NA,NA,Start Closing More,2.0,General traffic,NA
2022-06-01,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-03,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-05,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-05,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-07,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-08,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-04-09,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-11,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-12,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-13,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-27,NA,NA,NA,NA,NA,NA,Start Closing More,2.0,General traffic,NA
2022-05-05,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-06,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-09,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-10,NA,NA,NA,NA,NA,NA,Start Closing More,2.0,General traffic,NA
2022-05-11,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-16,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-24,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-27,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-31,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-06-01,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-06-02,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-06-02,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-06-13,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-01,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-13,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-01,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-05,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-11,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-18,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-20,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-22,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-24,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-27,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-28,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-02,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-05-09,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-11,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-12,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-17,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-18,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-23,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-24,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-05-25,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-31,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-06-01,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-06-06,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-06-06,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-07,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-20,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-05-31,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-01,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-04,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-06,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-14,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-14,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-15,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-18,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-19,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-21,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-01,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),5.0,General traffic,NA
2022-04-02,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-04,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),8.0,General traffic,NA
2022-04-05,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),6.0,General traffic,NA
2022-04-05,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-06,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-04-06,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),9.0,General traffic,NA
2022-04-06,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-06,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-07,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),6.0,General traffic,NA
2022-04-07,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-07,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-08,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),9.0,General traffic,NA
2022-04-09,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-11,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),5.0,General traffic,NA
2022-04-11,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-12,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-04-12,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),11.0,General traffic,NA
2022-04-13,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),10.0,General traffic,NA
2022-04-13,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-14,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),6.0,General traffic,NA
2022-04-15,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),6.0,General traffic,NA
2022-04-16,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-17,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-18,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-04-18,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),7.0,General traffic,NA
2022-04-18,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-19,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),6.0,General traffic,NA
2022-04-20,NA,NA,NA,NA,NA,NA,Get Approved,1.0,General traffic,NA
2022-04-20,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),5.0,General traffic,NA
2022-04-21,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),4.0,General traffic,NA
2022-04-21,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-22,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),5.0,General traffic,NA
2022-04-22,NA,NA,NA,NA,NA,NA,Start Closing More,2.0,General traffic,NA
2022-04-23,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),2.0,General traffic,NA
2022-04-24,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-04-25,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),7.0,General traffic,NA
2022-04-26,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),7.0,General traffic,NA
2022-04-26,NA,NA,NA,NA,NA,NA,Start Closing More,2.0,General traffic,NA
2022-04-27,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),7.0,General traffic,NA
2022-04-27,NA,NA,NA,NA,NA,NA,Learn More (Our Story),1.0,General traffic,NA
2022-04-28,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),11.0,General traffic,NA
2022-04-28,NA,NA,NA,NA,NA,NA,Start Closing More,1.0,General traffic,NA
2022-04-29,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),7.0,General traffic,NA
2022-04-30,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
2022-05-01,NA,NA,NA,NA,NA,NA,Learn More (Community Mortgage),1.0,General traffic,NA
